category,target,pool,grain_size,window_size,stride,hop,augmentation,mfcc_l2,fad
percussion,tribal.wav,tabla.wav,1,2,1,3,augmented,204.7035,107.3846
percussion,tribal.wav,trap.mp3,1,2,1,3,augmented,78.0184,238.4856
percussion,amen_mono_24k.wav,tabla.wav,1,2,2,1,none,234.4720,91.9410
percussion,amen_mono_24k.wav,trap.mp3,1,2,2,1,none,57.8871,352.8793
percussion,amen_mono_24k.wav,tribal.wav,1,2,2,1,none,71.1663,176.2197
percussion,tabla.wav,amen_mono_24k.wav,1,2,2,1,none,236.5765,479.9190
percussion,tabla.wav,trap.mp3,1,2,2,1,none,150.4109,650.7015
percussion,tabla.wav,tribal.wav,1,2,2,1,none,150.9997,301.8734
percussion,trap.mp3,amen_mono_24k.wav,1,2,2,1,none,160.4561,271.5924
percussion,trap.mp3,tabla.wav,1,2,2,1,none,197.0262,53.6267
percussion,trap.mp3,tribal.wav,1,2,2,1,none,87.9535,193.2603
percussion,tribal.wav,amen_mono_24k.wav,1,2,2,1,none,194.4746,330.3178
percussion,tribal.wav,tabla.wav,1,2,2,1,none,202.5665,58.3575
percussion,tribal.wav,trap.mp3,1,2,2,1,none,76.3233,447.6253
percussion,amen_mono_24k.wav,tabla.wav,1,2,2,1,augmented,275.9567,127.4381
percussion,amen_mono_24k.wav,trap.mp3,1,2,2,1,augmented,58.2138,348.3801
percussion,amen_mono_24k.wav,tribal.wav,1,2,2,1,augmented,86.4733,183.3279
percussion,tabla.wav,amen_mono_24k.wav,1,2,2,1,augmented,250.3292,497.9012
percussion,tabla.wav,trap.mp3,1,2,2,1,augmented,141.7881,623.0951
percussion,tabla.wav,tribal.wav,1,2,2,1,augmented,165.9582,321.2037
percussion,trap.mp3,amen_mono_24k.wav,1,2,2,1,augmented,170.6073,279.1463
percussion,trap.mp3,tabla.wav,1,2,2,1,augmented,210.5033,59.1402
percussion,trap.mp3,tribal.wav,1,2,2,1,augmented,93.6113,193.6315
percussion,tribal.wav,amen_mono_24k.wav,1,2,2,1,augmented,201.0987,327.4426
percussion,tribal.wav,tabla.wav,1,2,2,1,augmented,217.1357,70.0863
percussion,tribal.wav,trap.mp3,1,2,2,1,augmented,66.8257,406.8344
percussion,amen_mono_24k.wav,tabla.wav,1,2,2,2,none,254.8685,123.4900
percussion,amen_mono_24k.wav,trap.mp3,1,2,2,2,none,58.6195,365.1795
percussion,amen_mono_24k.wav,tribal.wav,1,2,2,2,none,71.3643,180.3255
percussion,tabla.wav,amen_mono_24k.wav,1,2,2,2,none,252.5906,503.8815
percussion,tabla.wav,trap.mp3,1,2,2,2,none,147.8400,642.5906
percussion,tabla.wav,tribal.wav,1,2,2,2,none,145.6236,291.3277
percussion,trap.mp3,amen_mono_24k.wav,1,2,2,2,none,158.8498,275.7884
percussion,trap.mp3,tabla.wav,1,2,2,2,none,195.2910,55.5613
percussion,trap.mp3,tribal.wav,1,2,2,2,none,87.1612,193.5876
percussion,tribal.wav,amen_mono_24k.wav,1,2,2,2,none,189.4703,331.2146
percussion,tribal.wav,tabla.wav,1,2,2,2,none,201.5424,60.9500
percussion,tribal.wav,trap.mp3,1,2,2,2,none,76.7563,434.2481
percussion,amen_mono_24k.wav,tabla.wav,1,2,2,2,augmented,274.1006,136.6037
percussion,amen_mono_24k.wav,trap.mp3,1,2,2,2,augmented,60.1380,350.9079
percussion,amen_mono_24k.wav,tribal.wav,1,2,2,2,augmented,88.2185,187.0894
percussion,tabla.wav,amen_mono_24k.wav,1,2,2,2,augmented,265.1672,536.0418
percussion,tabla.wav,trap.mp3,1,2,2,2,augmented,143.9907,624.6253
percussion,tabla.wav,tribal.wav,1,2,2,2,augmented,159.9547,311.2715
percussion,trap.mp3,amen_mono_24k.wav,1,2,2,2,augmented,174.6927,289.8263
percussion,trap.mp3,tabla.wav,1,2,2,2,augmented,204.3746,56.8584
